Age,Gender,Income_Level,Preferred_Travel_Type,Avg_Trip_Duration,Spending_Amount,Booking_Channel,Repeat_Visitor,Customer_Review_Score,Cluster_Label
21,Female,Low,Leisure,7,2223.34,App,Yes,4.4,1
46,Male,Medium,Leisure,12,2342.11,Agent,Yes,4.4,1
35,Other,Medium,Leisure,5,2198.47,Website,Yes,4.6,1
43,Male,High,Leisure,12,3438.46,Website,Yes,4.1,3
61,Male,Medium,Cultural,12,2723.03,Agent,No,3.3,0
51,Female,Medium,Leisure,9,2100.77,Website,Yes,4.8,1
27,Male,Low,Religious,7,811.17,Agent,No,2.0,2
53,Other,Medium,Leisure,7,2477.85,App,Yes,4.6,1
31,Other,Low,Adventure,11,2689.12,App,Yes,3.9,1
48,Other,Medium,Religious,9,2636.91,Agent,Yes,4.3,1
65,Other,Low,Cultural,13,2012.66,App,Yes,3.3,0
32,Female,Medium,Religious,7,2177.86,Agent,Yes,4.1,1
25,Male,Low,Religious,5,843.5,Website,Yes,3.9,2
31,Female,Medium,Religious,7,1628.82,Website,Yes,5.0,1
40,Male,High,Adventure,16,4126.27,Agent,No,3.7,3
57,Male,Low,Adventure,13,2253.83,Website,Yes,3.3,0
38,Male,Medium,Adventure,13,3679.39,App,No,3.3,0
33,Female,Medium,Cultural,12,2796.26,Website,Yes,3.7,0
62,Male,Low,Adventure,13,1558.09,Website,No,2.1,0
35,Female,Medium,Adventure,15,3136.94,Agent,Yes,3.6,0
64,Other,Low,Religious,7,1577.79,App,No,3.5,2
41,Other,Medium,Adventure,13,3292.91,Website,No,2.8,0
43,Male,Medium,Leisure,9,1460.58,Website,No,3.4,2
42,Female,Medium,Adventure,11,2537.4,Agent,Yes,4.0,1
62,Other,Medium,Cultural,12,3122.67,Agent,No,3.1,0
58,Female,Low,Cultural,11,2348.26,App,Yes,3.7,0
46,Female,Low,Leisure,8,830.89,Website,No,3.4,2
32,Male,Medium,Cultural,11,2911.76,Agent,Yes,4.3,1
62,Other,Medium,Cultural,10,2050.65,Agent,Yes,3.8,1
18,Male,High,Religious,9,3412.39,Agent,Yes,4.3,1
42,Male,High,Leisure,10,3989.72,App,Yes,4.5,3
24,Other,High,Religious,8,3258.66,Agent,No,3.7,1
26,Other,Medium,Religious,8,1637.21,App,No,2.3,2
41,Female,Medium,Adventure,14,3052.08,App,No,4.0,3
18,Other,Medium,Leisure,12,1713.75,Website,No,3.0,0
61,Female,Medium,Adventure,14,2902.99,Website,No,3.3,0
25,Female,Low,Adventure,12,2157.77,App,Yes,3.6,0
41,Female,High,Religious,10,3313.95,Website,Yes,3.9,1
28,Other,High,Cultural,10,3422.63,Website,Yes,4.2,3
68,Male,Medium,Leisure,10,2866.72,Agent,Yes,3.4,0
34,Female,Low,Cultural,10,2008.91,Website,Yes,4.7,1
25,Male,Medium,Religious,12,2505.99,App,Yes,3.3,0
52,Male,High,Religious,10,3502.85,Website,Yes,3.9,3
52,Other,High,Religious,11,3266.8,Agent,Yes,3.9,3
50,Male,Low,Religious,7,1111.47,App,No,3.5,2
22,Male,Low,Religious,5,1026.31,Website,Yes,3.8,2
59,Other,High,Religious,12,4732.61,App,Yes,4.0,3
56,Female,Medium,Cultural,13,2507.79,Website,Yes,4.2,3
58,Male,Medium,Adventure,15,3860.63,Agent,Yes,4.2,3
45,Other,High,Cultural,12,4225.43,Website,Yes,4.5,3
24,Male,Low,Leisure,10,1885.57,App,Yes,4.0,1
26,Male,Medium,Cultural,9,3278.96,App,Yes,5.0,1
25,Female,Low,Religious,7,1588.01,App,Yes,4.7,1
29,Male,Medium,Cultural,14,2883.12,Website,Yes,3.5,0
51,Other,High,Adventure,14,4360.44,Website,Yes,4.8,3
50,Male,Medium,Leisure,9,2338.45,Website,No,3.5,1
65,Female,High,Cultural,14,4625.32,Agent,Yes,4.4,3
40,Female,Medium,Adventure,13,3023.67,Agent,Yes,3.2,0
41,Other,Medium,Cultural,9,2280.6,Agent,Yes,3.9,1
54,Female,Low,Leisure,8,1370.48,App,No,2.7,2
52,Male,Medium,Cultural,10,2701.36,App,Yes,4.3,1
61,Female,Medium,Religious,10,2217.32,App,No,3.6,1
57,Other,Low,Cultural,9,2077.61,App,No,2.4,2
39,Female,Medium,Adventure,16,3399.19,App,Yes,3.8,3
44,Female,Medium,Cultural,10,2588.53,Website,Yes,4.4,1
52,Female,Medium,Adventure,13,3438.78,App,Yes,3.9,3
18,Other,Medium,Leisure,10,2525.91,Website,Yes,4.2,1
52,Female,Medium,Cultural,10,2117.31,Agent,Yes,3.9,1
54,Female,Low,Leisure,9,1559.37,Agent,Yes,3.8,1
64,Male,Low,Leisure,11,1974.76,Agent,Yes,3.6,0
31,Other,Medium,Cultural,9,2986.4,Agent,Yes,3.7,1
20,Female,Medium,Adventure,13,2563.81,Agent,No,2.7,0
18,Other,Low,Leisure,8,1088.41,App,Yes,3.8,2
22,Female,High,Leisure,12,3697.29,App,No,3.6,3
43,Female,Medium,Cultural,10,2305.77,App,No,3.2,0
31,Female,Medium,Cultural,9,1869.48,Agent,No,3.0,2
56,Male,Low,Cultural,11,1484.07,Agent,No,2.8,2
44,Male,Medium,Cultural,12,2666.02,Website,Yes,4.2,3
26,Male,Medium,Cultural,11,2689.95,App,Yes,3.8,1
32,Other,Medium,Religious,9,1619.71,Agent,Yes,3.1,2
32,Other,Medium,Cultural,10,2960.5,Agent,Yes,4.4,1
43,Male,High,Adventure,15,4528.84,Agent,No,3.4,3
59,Other,Medium,Leisure,10,2271.83,Website,No,3.3,0
30,Female,Low,Adventure,11,1900.07,Agent,Yes,4.3,1
68,Female,Medium,Adventure,17,3380.93,Website,Yes,3.7,3
49,Female,Medium,Religious,9,2214.42,Website,Yes,4.0,1
56,Male,Medium,Cultural,10,3141.01,App,Yes,3.7,1
66,Other,Low,Leisure,10,2061.88,Agent,Yes,3.7,1
69,Male,Low,Adventure,11,2066.12,Website,Yes,3.9,1
49,Other,High,Cultural,14,3840.97,Agent,No,2.8,0
21,Female,Medium,Cultural,13,3103.56,App,Yes,4.0,3
47,Male,High,Religious,9,3743.12,App,No,4.0,3
54,Other,Medium,Religious,10,2112.73,Website,No,3.2,2
40,Other,Medium,Religious,9,2308.09,App,No,3.8,1
56,Female,Medium,Leisure,11,2846.52,App,Yes,4.1,1
62,Male,High,Adventure,18,4994.51,App,No,4.0,3
32,Male,Medium,Religious,8,1944.31,Agent,No,2.9,2
60,Male,Medium,Religious,8,2103.05,Agent,Yes,4.0,1
46,Female,Low,Religious,6,1642.39,Website,Yes,4.0,1
53,Male,Medium,Adventure,13,2935.75,Website,No,2.8,0
30,Female,Medium,Adventure,13,3178.46,App,Yes,4.3,3
49,Female,Low,Religious,8,1512.53,App,Yes,4.6,1
24,Female,Low,Religious,7,1260.35,Website,Yes,3.7,2
68,Other,Medium,Cultural,13,2940.33,App,No,3.4,0
39,Male,Low,Religious,7,905.56,Website,No,2.9,2
45,Male,Low,Leisure,10,1849.77,Agent,Yes,3.4,2
19,Female,Medium,Leisure,8,2966.36,App,Yes,3.7,1
59,Female,High,Religious,15,4047.84,App,No,3.1,0
62,Male,Medium,Adventure,15,3248.57,App,No,2.6,0
23,Female,Low,Cultural,8,1608.77,Agent,No,3.8,1
45,Male,Low,Adventure,10,1946.62,Agent,Yes,3.7,1
45,Other,Medium,Religious,9,2615.75,App,Yes,3.9,1
61,Female,Medium,Leisure,10,3029.17,Website,Yes,4.5,1
61,Male,High,Cultural,15,3870.96,Agent,No,2.9,0
37,Female,Medium,Adventure,14,3152.09,App,Yes,3.5,0
47,Male,Medium,Adventure,13,3200.75,App,Yes,3.9,3
28,Male,Low,Religious,5,894.49,Agent,Yes,4.1,1
45,Female,Medium,Cultural,9,2310.95,Website,Yes,4.2,1
42,Other,Low,Leisure,7,1200.22,App,No,3.1,2
56,Male,High,Religious,12,3209.71,Website,Yes,4.0,3
50,Male,Medium,Cultural,12,2356.06,Website,No,3.3,0
18,Male,Medium,Adventure,11,2852.06,Agent,No,3.4,0
44,Other,Low,Religious,7,1299.05,App,Yes,3.3,2
69,Other,Low,Adventure,13,2762.16,App,No,3.2,0
30,Female,Medium,Adventure,12,2704.61,Website,No,2.8,0
58,Other,Low,Religious,8,1460.55,Agent,No,3.1,2
20,Female,Medium,Religious,8,1964.03,Agent,Yes,3.7,1
56,Female,Low,Religious,6,1677.73,Agent,Yes,5.0,1
23,Other,Medium,Religious,8,1698.8,Website,Yes,3.8,1
25,Female,High,Religious,10,3223.45,Website,No,3.0,0
44,Other,Medium,Adventure,15,3152.93,App,No,3.1,0
26,Female,Medium,Leisure,11,2287.35,Agent,No,3.4,0
54,Other,Low,Leisure,6,1058.7,Website,Yes,4.3,1
50,Other,Low,Religious,6,1122.86,Agent,Yes,3.5,2
68,Female,Medium,Adventure,15,3500.54,Website,Yes,3.2,0
59,Male,Medium,Leisure,11,2551.87,App,Yes,4.2,1
61,Female,Medium,Leisure,11,2435.34,Agent,No,2.7,0
41,Other,Low,Leisure,14,1416.23,Website,Yes,3.2,0
32,Male,Low,Adventure,13,2625.83,Agent,Yes,3.6,0
49,Female,Low,Religious,9,1046.62,Website,Yes,3.4,2
49,Female,High,Religious,12,3762.07,Website,Yes,4.4,3
41,Female,Low,Religious,8,1504.07,Website,Yes,3.4,2
58,Male,Medium,Cultural,11,2672.34,Agent,Yes,3.8,1
69,Other,Low,Cultural,12,2220.98,Website,Yes,3.7,0
66,Female,Medium,Cultural,11,3149.51,App,Yes,4.1,3
66,Female,Medium,Adventure,14,3239.72,Agent,Yes,3.9,3
69,Female,High,Leisure,11,3383.81,App,No,3.7,3
29,Female,High,Leisure,11,3297.59,App,Yes,4.5,3
56,Female,Medium,Adventure,17,3236.27,Agent,No,3.3,0
19,Other,High,Adventure,11,3166.94,Website,No,3.6,0
20,Other,High,Religious,10,3659.98,App,Yes,3.7,3
66,Female,High,Religious,8,3112.34,Agent,No,3.9,1
54,Male,High,Cultural,13,4235.12,Website,Yes,4.4,3
66,Other,Low,Cultural,12,1690.76,Agent,No,3.2,0
34,Male,Medium,Adventure,13,2682.54,Agent,No,2.9,0
66,Other,Low,Cultural,9,1820.94,Agent,No,2.9,2
19,Female,Low,Leisure,6,1336.89,Website,Yes,3.6,2
19,Other,High,Adventure,15,4671.22,App,Yes,4.4,3
45,Female,Medium,Adventure,12,3467.16,App,Yes,4.5,3
40,Other,Medium,Leisure,10,1670.7,Agent,No,2.9,2
54,Female,High,Religious,10,3478.41,Agent,No,4.1,3
49,Female,High,Religious,9,3600.12,Website,Yes,4.5,1
50,Female,High,Leisure,14,3716.37,Agent,Yes,3.9,3
18,Female,Low,Leisure,8,1028.15,Agent,No,2.8,2
36,Male,Low,Cultural,7,1719.58,Agent,Yes,4.2,1
19,Female,Medium,Adventure,13,2816.03,App,No,3.3,0
61,Male,Low,Cultural,10,1736.53,Agent,No,3.9,1
43,Male,Low,Leisure,9,2265.79,App,Yes,3.6,1
49,Female,Medium,Cultural,10,2550.91,Website,No,3.6,1
23,Male,Medium,Leisure,9,1842.71,Website,Yes,3.5,2
49,Other,Medium,Cultural,12,3233.0,App,Yes,3.7,3
21,Female,Medium,Cultural,12,2905.06,App,No,3.3,0
28,Male,Medium,Religious,6,1947.42,App,No,3.7,1
34,Female,Low,Leisure,7,1998.67,App,Yes,5.0,1
55,Female,Low,Cultural,10,2610.06,Agent,Yes,3.9,1
41,Female,Medium,Adventure,12,3613.49,App,Yes,3.7,3
22,Male,Medium,Cultural,13,3046.17,App,Yes,4.0,3
69,Other,Medium,Cultural,13,3519.9,App,Yes,3.2,0
51,Other,Low,Adventure,10,2329.84,Agent,Yes,3.8,1
23,Male,High,Leisure,12,3773.55,Agent,Yes,4.2,3
39,Female,Medium,Religious,12,2390.95,Agent,Yes,4.1,1
28,Male,Medium,Religious,10,2640.4,Website,Yes,4.4,1
65,Male,Medium,Religious,7,1680.85,Agent,No,3.1,2
33,Male,High,Adventure,14,4646.09,App,No,3.6,3
50,Female,Medium,Cultural,14,3171.34,Agent,Yes,3.5,0
26,Male,Medium,Leisure,8,1921.58,Agent,Yes,3.4,2
23,Female,High,Cultural,13,4286.67,App,Yes,4.4,3
33,Male,Medium,Religious,9,1656.37,Agent,Yes,3.2,2
46,Other,Medium,Cultural,10,2799.03,Website,Yes,3.9,1
20,Male,Medium,Adventure,13,2976.95,Agent,No,2.8,0
37,Male,Medium,Adventure,8,2168.67,Website,No,3.6,1
53,Other,Low,Leisure,7,1103.44,Website,No,3.7,2
36,Female,Medium,Leisure,9,2887.62,Website,Yes,3.7,1
43,Female,High,Religious,8,3074.65,App,No,3.1,2
20,Male,High,Leisure,13,3093.7,Agent,No,3.2,0
36,Other,Medium,Cultural,9,2945.88,Website,Yes,4.2,1
37,Female,Medium,Adventure,13,3635.15,Website,Yes,4.1,3
49,Male,Low,Adventure,12,2397.48,Agent,Yes,3.6,0
24,Other,High,Adventure,17,5024.82,App,Yes,4.0,3
69,Female,High,Leisure,10,4028.82,App,No,4.0,3
58,Female,Medium,Adventure,16,3108.63,Website,Yes,4.1,3
50,Other,High,Adventure,15,4585.78,App,Yes,3.4,3
57,Other,Medium,Adventure,12,3605.64,Agent,Yes,4.0,3
56,Other,Medium,Religious,10,3116.88,App,Yes,4.2,1
35,Other,Low,Religious,7,1145.24,Agent,No,2.6,2
57,Male,Medium,Leisure,9,2142.43,Website,Yes,4.6,1
18,Other,Medium,Adventure,13,3297.49,Agent,No,3.1,0
28,Female,Medium,Leisure,8,2042.08,Website,Yes,3.9,1
45,Female,Medium,Adventure,14,3195.83,Agent,Yes,4.1,3
42,Male,High,Adventure,16,4704.08,Agent,Yes,3.9,3
67,Female,Low,Adventure,15,2882.62,App,No,2.4,0
40,Female,Medium,Leisure,8,2667.57,Agent,Yes,4.1,1
48,Other,Medium,Leisure,13,2725.84,Website,Yes,4.2,3
47,Female,Medium,Adventure,11,3265.36,Agent,Yes,4.0,3
59,Male,Medium,Cultural,12,2809.43,Website,Yes,3.5,0
52,Other,Low,Leisure,9,1348.82,Website,No,3.3,2
24,Other,Low,Religious,7,562.51,Agent,Yes,3.2,2
33,Male,Medium,Leisure,8,2437.39,App,Yes,3.9,1
43,Other,Medium,Adventure,13,3298.77,Agent,Yes,4.0,3
65,Other,Low,Cultural,10,1311.07,Agent,No,3.2,2
69,Male,Medium,Adventure,13,3622.27,App,Yes,5.0,3
66,Other,Medium,Religious,10,1900.03,Website,No,3.4,2
19,Male,Medium,Leisure,9,2493.02,Agent,No,3.9,1
18,Male,High,Leisure,9,4183.28,App,Yes,4.5,3
65,Female,Low,Adventure,14,2606.63,App,Yes,3.3,0
29,Female,Low,Adventure,12,2101.12,Website,Yes,3.7,0
22,Other,Medium,Religious,9,1959.19,App,No,3.2,2
54,Other,Medium,Cultural,13,2695.88,Website,Yes,3.3,0
49,Male,Medium,Religious,7,2304.88,Agent,Yes,4.2,1
26,Other,High,Cultural,12,3503.89,App,No,3.6,3
58,Male,High,Leisure,13,3662.19,Agent,Yes,4.2,3
52,Male,High,Cultural,14,4568.19,App,Yes,4.4,3
36,Other,Medium,Cultural,11,3110.24,App,Yes,4.2,3
65,Male,Medium,Leisure,10,2415.08,Agent,Yes,3.7,1
33,Female,Medium,Leisure,11,2974.98,App,Yes,3.8,0
20,Other,Low,Leisure,6,1201.9,Agent,Yes,3.3,2
37,Female,Medium,Religious,9,1982.33,Agent,No,3.9,1
41,Other,Low,Leisure,8,1712.48,Website,Yes,3.8,1
50,Male,High,Adventure,15,4171.29,Agent,No,3.3,3
41,Other,Medium,Leisure,11,2182.8,Website,No,2.8,0
69,Female,Medium,Leisure,11,2581.45,Agent,Yes,5.0,1
28,Male,Medium,Leisure,10,2162.44,App,No,2.8,2
66,Other,Low,Cultural,13,2179.62,Agent,Yes,3.4,0
25,Other,Low,Religious,6,792.4,App,No,3.0,2
53,Other,Medium,Leisure,11,2053.34,Website,No,3.3,0
55,Female,Low,Religious,7,1161.79,App,Yes,4.0,1
57,Female,Medium,Adventure,14,3209.03,Agent,Yes,4.6,3
37,Other,High,Adventure,15,4580.91,App,Yes,4.3,3
52,Male,High,Leisure,11,3624.52,Website,Yes,3.8,3
65,Male,Medium,Adventure,15,3533.93,App,Yes,3.8,3
42,Female,Low,Religious,6,1482.85,App,Yes,4.0,1
52,Male,High,Cultural,16,4095.21,Agent,No,4.2,3
42,Female,High,Leisure,9,3943.73,Agent,Yes,4.1,3
46,Other,Low,Adventure,10,1816.45,App,No,3.5,2
35,Female,Medium,Religious,10,1445.42,Website,No,3.0,2
63,Female,Low,Religious,9,1473.76,App,Yes,3.9,1
35,Other,High,Adventure,16,3870.22,Website,No,3.3,3
19,Male,High,Religious,10,3220.8,Website,Yes,3.9,1
52,Female,Low,Religious,7,1080.38,Website,Yes,3.9,1
33,Female,High,Leisure,9,2997.54,App,No,3.9,1
58,Other,Medium,Religious,9,2124.54,Website,Yes,4.3,1
53,Male,High,Adventure,14,4740.8,App,Yes,4.3,3
50,Female,Medium,Leisure,11,2269.89,Website,No,2.9,0
21,Other,High,Adventure,14,3659.15,Website,No,2.7,0
50,Female,Low,Cultural,9,1547.48,App,No,3.4,2
31,Other,Medium,Adventure,13,2488.37,Agent,No,3.3,0
38,Male,Low,Adventure,12,2331.94,Agent,Yes,3.3,0
65,Male,High,Leisure,11,3811.85,App,Yes,4.1,3
37,Male,High,Religious,9,3428.31,App,No,3.6,1
25,Male,High,Adventure,15,3920.62,Agent,Yes,3.4,3
24,Female,High,Leisure,11,3603.49,Agent,Yes,3.9,3
20,Female,Low,Cultural,9,1861.71,Agent,Yes,3.3,2
34,Male,Medium,Leisure,9,2246.53,App,No,3.2,2
50,Male,Low,Leisure,9,2379.29,Website,Yes,3.7,1
65,Male,Low,Religious,5,1261.32,App,No,2.7,2
29,Female,Low,Adventure,9,1815.16,Agent,Yes,4.6,1
68,Male,Medium,Cultural,11,2752.74,Website,Yes,4.4,1
39,Male,Low,Leisure,8,1223.5,App,Yes,3.2,2
39,Male,Low,Adventure,12,2322.2,Agent,Yes,3.8,0
63,Other,Low,Adventure,15,2146.46,App,No,3.1,0
47,Male,Low,Leisure,9,1830.99,Website,Yes,4.2,1
55,Other,High,Adventure,15,4441.51,Agent,Yes,3.8,3
55,Other,Medium,Leisure,10,2721.35,App,Yes,4.4,1
62,Male,High,Leisure,10,3500.71,Website,Yes,4.1,3
68,Other,Medium,Leisure,10,3043.03,Website,Yes,3.6,0
25,Male,Low,Cultural,9,1850.0,App,Yes,4.0,1
44,Female,Medium,Leisure,10,2551.14,Website,No,3.9,1
44,Female,Medium,Religious,7,2065.62,Agent,No,4.5,1
51,Female,Low,Adventure,13,2461.0,Website,Yes,3.2,0
38,Female,Low,Cultural,12,2302.0,App,Yes,4.0,1
47,Other,Low,Adventure,12,2504.52,Agent,Yes,3.6,0
50,Male,Low,Cultural,11,1313.07,Website,Yes,3.7,2
45,Male,Medium,Religious,10,1772.71,Website,No,2.5,2
64,Male,Medium,Cultural,12,2824.92,Agent,No,2.8,0
50,Female,Low,Cultural,11,2026.71,Agent,Yes,3.4,0
22,Female,Low,Cultural,9,809.82,Website,No,2.8,2
65,Male,High,Adventure,16,4700.65,Agent,Yes,3.8,3
36,Female,Low,Leisure,7,2192.61,App,Yes,4.4,1
21,Male,Medium,Adventure,13,3340.44,Website,Yes,4.4,3
52,Male,High,Leisure,12,4042.78,App,Yes,4.5,3
66,Male,Low,Adventure,15,2396.81,Website,No,3.6,0
34,Male,Low,Religious,8,1471.42,App,Yes,3.8,1
61,Male,Medium,Religious,12,2245.21,App,Yes,3.2,0
45,Male,Medium,Cultural,10,2079.04,Agent,No,3.7,1
47,Male,Medium,Religious,10,2335.24,Website,No,3.0,0
46,Female,High,Cultural,13,3659.18,Agent,No,3.8,3
63,Male,Low,Leisure,12,1493.36,Agent,No,3.5,0
23,Male,Medium,Religious,7,1876.42,Website,Yes,4.2,1
52,Female,Medium,Leisure,8,2792.62,App,No,3.1,2
58,Female,Low,Adventure,12,2379.16,Website,No,2.8,0
54,Female,Medium,Leisure,7,2537.01,Website,No,4.3,1
41,Male,Low,Adventure,11,1698.66,Website,No,2.9,2
46,Other,Medium,Leisure,8,2530.06,Agent,Yes,4.2,1
66,Other,Low,Leisure,9,796.38,Website,No,3.0,2
63,Female,Medium,Religious,10,2789.46,Website,Yes,4.3,1
48,Other,Medium,Leisure,12,2191.04,Website,Yes,3.8,0
52,Female,High,Religious,12,3976.41,App,Yes,4.1,3
50,Male,Low,Religious,6,812.19,App,No,2.8,2
69,Other,Medium,Cultural,11,2909.72,App,Yes,4.3,1
38,Male,Medium,Cultural,12,2740.2,App,Yes,4.1,3
49,Other,Medium,Adventure,12,3014.01,Agent,Yes,3.8,3
40,Male,Medium,Leisure,12,2089.64,Agent,No,3.5,0
50,Other,Medium,Adventure,15,3066.9,Website,Yes,3.7,3
20,Male,Medium,Leisure,8,2161.38,Agent,No,3.1,2
35,Male,High,Cultural,10,3324.92,App,No,3.3,0
42,Other,Medium,Cultural,13,2837.54,Website,Yes,3.4,0
59,Male,Medium,Leisure,10,2841.76,Website,Yes,3.9,1
48,Male,High,Leisure,13,3547.42,App,No,3.9,3
20,Male,High,Cultural,10,3366.0,App,No,3.3,0
57,Other,High,Cultural,12,3817.22,App,No,3.7,3
63,Other,Medium,Adventure,14,3740.29,Agent,Yes,3.7,3
41,Male,Low,Cultural,10,1444.61,Website,No,2.8,2
67,Male,Medium,Leisure,10,2657.01,App,Yes,3.4,0
49,Other,Medium,Adventure,15,3371.54,Website,Yes,3.7,3
64,Other,Medium,Leisure,9,1710.69,Website,No,3.0,2
39,Male,Medium,Religious,8,2460.78,Agent,Yes,4.4,1
40,Male,High,Adventure,15,4103.96,Website,No,3.5,3
19,Male,Medium,Leisure,10,2484.03,App,Yes,3.4,0
44,Female,High,Cultural,14,3689.8,App,No,3.8,3
59,Other,Medium,Religious,7,1880.37,Website,Yes,4.1,1
19,Female,Medium,Leisure,6,2196.82,Website,Yes,4.4,1
43,Other,Medium,Adventure,15,3315.07,Agent,No,3.2,0
34,Other,Medium,Leisure,10,2460.18,App,Yes,3.7,1
57,Other,Low,Religious,6,1713.89,App,Yes,4.1,1
50,Other,Low,Adventure,15,1405.27,Website,No,2.9,0
26,Other,High,Religious,10,3185.99,Website,Yes,3.5,0
60,Other,Low,Leisure,10,1272.06,Website,No,2.6,2
65,Other,Medium,Cultural,12,2853.47,App,Yes,3.8,0
56,Female,Medium,Cultural,15,2680.42,Website,Yes,3.8,0
46,Male,Medium,Leisure,12,2081.04,Agent,No,3.5,0
59,Male,Medium,Leisure,10,2314.03,Agent,No,2.9,2
43,Female,Low,Leisure,9,1480.18,Website,Yes,3.4,2
52,Female,Medium,Adventure,15,2719.91,Agent,Yes,3.5,0
67,Female,Medium,Religious,11,1540.17,Agent,No,2.6,2
42,Female,Medium,Religious,7,2029.32,Agent,Yes,3.9,1
41,Other,Low,Religious,8,1603.68,Agent,Yes,4.0,1
